Leon Scott|Recording of Au Clair de Lune|1860|||AuClairdelaLune.m4a
Thomas Edison|Edison Cylinder Recording|1888|||EdisonCylinder.m4a
Luigi Russolo|Risveglio Di Una Città|1914|||RisveglioDiUnaCitta.m4a
John Cage|Imaginary Landscape|1939|||ImaginaryLandscape.m4a
Pierre Schaeffer|Etude aux Chemins de Fer (Study in Locomotives)|1948|||EtudeAuxCheminsDeFer.m4a
Karlheinz Stockhausen|Studie 1|1953|||Studie1.m4a
Louis & Bebe Barron|Battle With The Invisible Monster|1956|||BattleWithTheInvisibleMonster.m4a
Milton Babbitt|Occasional Variations|1968|||OccasionalVariations.m4a
Emerson, Lake and Palmer|Lucky Man|1970||elp.jpg|LuckyMan.m4a
Pink Floyd|On The Run|1973||darkside.jpg|OnTheRun.m4a
Cerrone|Love in C Minor|1976||cminor.jpg|LoveInCMinor.m4a
Giorgio Moroder|Chase|1978||chase.jpg|Chase.m4a
Funkadelic|One Nation Under a Groove|1978||onenation.jpg|OneNationUnderAGroove.m4a
Telex|Moskow Diskow|1979|Some text about this song. It's a song about Disco from Moscow. Blah blah blah blah blah blah blah blah. And some more text just to see what's up. Cheers.|telex.jpg|MoskowDiskow.m4a
Yellow Magic Orchestra|Technopolis|1979||ymo.jpg|Technopolis.m4a
Donna Summer|I Feel Love|1979||donnasummer.jpg|IFeelLove.m4a
Disco Dream and the Androids|Dream Machine|1979||discodream.jpg|DreamMachine.mp3
Ryuichi Sakamoto|Riot in Lagos|1980||ryuichi.jpg|RiotInLagos.mp3
Kano|I’m Ready|1980|||ImReady.m4a
Kasso|Walkman|1981|||Walkman.m4a
Kraftwerk|Numbers|1981|||Numbers.m4a
Visage|Frequency 7|1981|||Frequency7.mp3
Amin-Peck|Coda|1982|||Coda.mp3
Lectric Workers|Robot is Systematic|1982|||RobotIsSystematic.mp3
Sun La Shan|Catch|1982|||Catch.mp3
Africa Bambaataa|Planet Rock|1982|||PlanetRock.m4a
A Number of Names|Sharivari|1982|The first Detroit Techno track.|sharivari.jpg|Sharivari.mp3
Eddie Grant|Time Warp|1982|||TimeWarp.mp3
Cybotron|Clear|1983|||Clear.mp3
Alexader Robotnik|Problemes D’Amour|1983|||ProblemesDAmour.mp3